"international_plan","total_day_minutes","total_intl_minutes","number_customer_service_calls","total_intl_calls","churn"
"668","no",193.8,9.2,0,3,"no"
"669","no",231.2,12.3,1,1,"no"
"670","no",200.1,15.5,0,4,"no"
"671","no",266.7,16.3,1,4,"no"
"672","no",118.1,11.9,2,6,"no"
"673","no",175.3,11.8,0,5,"no"
"674","no",125.1,11.2,3,3,"no"
"675","no",176.8,7.5,1,15,"no"
"676","no",241.9,5.9,1,3,"no"
"677","no",241.2,10.6,0,4,"no"
"678","no",217.1,9.4,1,4,"no"
"679","no",195.4,8.9,0,4,"no"
"680","yes",222.4,8.7,1,9,"yes"
"681","no",189.5,13.1,1,2,"no"
"682","no",123.1,9.3,0,5,"no"
"683","no",256.7,11.4,3,3,"no"
"684","no",159.1,6.5,1,1,"no"
"685","no",100.1,11.1,3,8,"no"
"686","no",30.9,8.6,1,7,"no"
"687","no",223.2,10.1,3,2,"no"
"688","no",187.4,12.6,1,8,"no"
"689","no",315.6,12.1,3,3,"no"
"690","no",277.5,8.2,1,2,"no"
"691","no",189.8,14.9,2,3,"no"
"692","no",147.2,10.2,1,4,"no"
"693","no",185.8,5.7,4,7,"no"
"694","no",155.4,8,3,4,"no"
"695","no",154.2,10.9,6,4,"no"
"696","no",97.6,11.6,1,9,"no"
"697","no",178.8,7.5,1,3,"no"
"698","no",149.3,9.1,0,4,"no"
"699","no",206,8.4,0,11,"no"
"700","no",216.8,11,0,9,"no"
"701","no",103.3,10.7,0,3,"no"
"702","no",139.4,7.7,0,3,"no"
"703","no",191.2,14.1,1,3,"no"
"704","no",160,10.4,1,7,"no"
"705","no",221.7,6.5,3,4,"no"
"706","no",62.9,8.5,1,5,"no"
"707","no",215.6,3.6,1,5,"no"
"708","no",165.3,7.6,3,7,"no"
"709","yes",94.7,10.6,2,6,"no"
"710","no",203.2,9.7,2,3,"no"
"711","no",195.3,12.5,3,4,"no"
"712","no",143.7,11.4,4,8,"no"
"713","no",114.4,0,2,0,"no"
"714","no",222.8,6.9,2,2,"no"
"715","no",175.9,7.3,2,5,"no"
"716","yes",249.9,15.3,1,6,"yes"
"717","yes",234.5,11.4,2,4,"no"
"718","no",210.7,7.2,1,6,"no"
"719","no",182.3,9.3,1,3,"no"
"720","no",190.3,11.7,2,5,"no"
"721","no",177.1,7.4,0,2,"no"
"722","no",87.2,10.9,6,5,"yes"
"723","no",215.6,13.5,1,3,"no"
"724","no",137.4,14,3,11,"no"
"725","no",192.8,16.4,1,5,"no"
"726","no",149.3,11.9,2,3,"no"
"727","no",143.7,7.8,1,5,"no"
"728","no",224.8,9.2,1,2,"no"
"729","no",261.2,12.7,2,5,"no"
"730","no",196.5,13.4,0,5,"no"
"731","no",271.2,11.5,3,3,"yes"
"732","no",207.2,8,2,1,"no"
"733","no",300.4,7.2,2,5,"no"
"734","no",229.6,9.5,2,8,"no"
"735","yes",187.5,12.1,1,4,"no"
"736","yes",57.1,6.5,3,6,"no"
"737","no",162.1,11,5,9,"yes"
"738","yes",145,16.7,2,3,"yes"
"739","no",159.5,11.4,1,3,"no"
"740","no",190.7,8.8,1,8,"no"
"741","no",230.6,9.4,1,2,"no"
"742","no",34,11.5,0,3,"no"
"743","no",193.4,11.4,5,3,"no"
"744","no",202,10.4,1,6,"no"
"745","no",191.7,9.1,1,5,"no"
"746","no",161.3,6.6,1,8,"no"
"747","no",150.6,6.4,1,2,"no"
"748","no",184.6,7.8,1,1,"no"
"749","no",220.7,8.7,1,5,"no"
"750","yes",167.3,11,1,6,"no"
"751","no",154,8.2,3,4,"no"
"752","no",121.1,10.1,0,6,"no"
"753","no",182.1,12.7,3,4,"no"
"754","no",109.6,11,2,5,"no"
"755","no",209.9,9.6,1,4,"no"
"756","no",167.5,11.4,2,4,"no"
"757","no",213.9,9.8,2,14,"no"
"758","no",115.8,13.1,1,5,"no"
"759","no",276.6,9.8,2,6,"no"
"760","no",179.4,9.5,2,4,"no"
"761","no",187.3,10.1,1,5,"no"
"762","no",201.2,8.4,2,3,"no"
"763","yes",189.6,1.3,1,6,"no"
"764","no",186.8,15,0,5,"no"
"765","no",153.5,11.4,0,4,"no"
"766","no",187.6,8.7,2,6,"no"
"767","yes",230.9,11,0,2,"yes"
"768","no",244.9,15.2,2,4,"no"
"769","no",230.9,9.7,3,2,"no"
"770","no",187.1,11,1,3,"no"
"771","no",170.7,13.3,1,4,"no"
"772","yes",126.9,8.8,5,3,"yes"
"773","no",189.5,9.2,0,7,"no"
"774","yes",176.9,7.7,1,2,"yes"
"775","no",161.1,10.6,1,4,"no"
"776","no",169.4,10.7,1,4,"no"
"777","no",254.4,10.5,0,4,"no"
"778","yes",127.7,5.8,2,4,"no"
"779","no",170.5,13.6,6,5,"no"
"780","yes",219.1,10.1,2,4,"no"
"781","yes",273.5,11,2,9,"no"
"782","yes",161.9,10.7,1,4,"no"
"783","no",241.7,9.4,1,4,"no"
"784","yes",62.8,9.4,3,4,"no"
"785","no",281.1,11.2,1,9,"no"
"786","no",228.2,10.7,3,5,"no"
"787","no",209.8,11.3,0,3,"no"
"788","no",265.6,11.1,2,6,"yes"
"789","no",214.9,11.8,2,2,"no"
"790","no",110.5,10.5,3,3,"no"
"791","yes",281.1,7.5,0,3,"no"
"792","no",137.8,14.1,2,3,"no"
"793","yes",271.5,8.2,1,2,"yes"
"794","no",112.8,9,2,3,"no"
"795","no",187.3,15.1,1,2,"no"
"796","no",197,10.8,1,4,"no"
"797","no",180.4,8.4,1,2,"no"
"798","yes",148.5,14.5,1,7,"yes"
"799","no",197.1,14.6,2,5,"no"
"800","no",153.7,15.9,1,5,"no"
"801","no",261.3,11.3,1,2,"no"
"802","no",246.2,9.4,1,5,"no"
"803","no",191,6.5,0,4,"no"
"804","no",208.3,12.6,1,3,"no"
"805","no",253,9.8,0,4,"no"
"806","no",202.3,6.8,0,4,"no"
"807","no",174.4,10.2,0,5,"no"
"808","no",127.1,12.1,1,3,"no"
"809","yes",143.5,11.3,0,3,"no"
"810","no",186.9,5.8,1,3,"no"
"811","no",194,12.1,1,4,"no"
"812","no",234.8,9.9,0,6,"no"
"813","no",123.7,13.1,1,4,"no"
"814","no",173.9,15.3,0,5,"no"
"815","no",130.9,12.4,1,4,"no"
"816","no",314.6,5.7,2,3,"yes"
"817","no",227.9,12.1,1,5,"no"
"818","no",95.5,6.6,2,6,"no"
"819","no",185.3,15.1,1,3,"no"
"820","no",146.3,13.1,1,3,"no"
"821","no",184,12.7,2,3,"no"
"822","no",105.8,13.1,0,5,"no"
"823","no",178,11.7,1,4,"no"
"824","no",149.4,10.1,1,6,"no"
"825","no",209.4,11.3,2,3,"no"
"826","no",172.1,11.6,1,6,"no"
"827","yes",169.3,9.4,1,9,"no"
"828","no",119.1,12.2,0,4,"no"
"829","no",194.2,5.5,2,2,"no"
"830","no",198.8,9.9,2,3,"no"
"831","yes",167.7,13.4,3,1,"yes"
"832","no",202.2,11.8,2,2,"no"
"833","no",322.5,9.4,2,4,"yes"
"834","no",216.2,10.2,0,3,"no"
"835","no",76.4,9.4,3,3,"no"
"836","no",72.7,9.9,1,3,"no"
"837","no",210.4,9.7,0,4,"no"
"838","yes",127.2,8.1,0,13,"no"
"839","no",201.8,11.9,1,8,"no"
"840","no",219.5,16.1,1,5,"no"
"841","no",99.3,9,3,6,"no"
"842","no",239.2,10.3,5,2,"no"
"843","yes",120.9,11.4,2,11,"no"
"844","no",224.7,15.8,1,6,"no"
"845","no",176.6,14.6,1,6,"no"
"846","no",283.9,10,1,4,"no"
"847","no",180.6,10.3,1,4,"yes"
"848","no",125.9,10.3,1,4,"no"
"849","no",237.6,9.1,0,9,"no"
"850","no",198.4,9.2,2,2,"no"
"851","no",274.3,10.9,0,5,"no"
"852","yes",199.6,11,3,4,"yes"
"853","no",217.7,9.6,3,3,"no"
"854","no",134.7,7.6,3,6,"no"
"855","no",212.7,9.7,2,13,"no"
"856","no",256.3,6.2,2,7,"no"
"857","no",183.6,12.7,1,2,"no"
"858","no",176.2,9.2,1,4,"no"
"859","no",205,11.7,1,8,"no"
"860","no",267.9,11.3,3,3,"yes"
"861","no",179.2,9.9,2,6,"no"
"862","no",149.4,14.9,1,3,"no"
"863","no",163.6,13.1,3,3,"no"
"864","no",207.6,12.4,1,13,"no"
"865","no",165.4,8.9,3,4,"no"
"866","no",209.8,9.9,4,9,"no"
"867","no",220.1,11.1,0,3,"no"
"868","no",141.3,8.2,1,5,"no"
"869","no",196.5,4,0,7,"no"
"870","yes",180.9,7.4,2,4,"no"
"871","no",105,14.9,0,5,"no"
"872","no",271.4,11.1,4,6,"yes"
"873","no",206.7,10.9,1,3,"no"
"874","no",166.8,9.3,1,1,"no"
"875","no",204.9,10.4,5,3,"no"
"876","no",154.6,9.1,1,4,"no"
"877","no",127,7.5,1,2,"no"
"878","yes",267.4,5.9,1,4,"no"
"879","no",281,0,1,0,"no"
"880","no",270.8,11.8,4,8,"no"
"881","no",171.2,10.2,1,7,"no"
"882","no",124.1,6.7,3,8,"no"
"883","no",162.8,7.2,1,3,"no"
"884","no",146.3,8,1,12,"no"
"885","no",254.8,15,2,7,"no"
"886","no",254.9,5.4,2,3,"no"
"887","no",107.7,8.9,0,3,"no"
"888","no",158.8,7.6,1,7,"no"
"889","no",182.9,5.5,2,4,"no"
"890","no",198.5,12.4,0,5,"no"
"891","no",178.4,12,0,2,"no"
"892","no",110.9,6.2,1,5,"no"
"893","no",166.9,12.3,1,4,"yes"
"894","yes",244.8,10.7,2,3,"no"
"895","no",120.8,11.9,4,3,"yes"
"896","no",165.3,8.5,2,3,"no"
"897","no",126.7,14.4,2,7,"no"
"898","no",215.9,15.5,0,7,"no"
"899","no",140.1,8,1,2,"no"
"900","no",209.9,8.7,1,7,"no"
"901","yes",139.8,5.5,0,6,"no"
"902","no",321.6,11.3,2,3,"yes"
"903","no",166.6,8.2,7,6,"no"
"904","no",214.2,5.9,0,8,"no"
"905","no",260,9,1,3,"yes"
"906","no",191.9,13.4,4,4,"yes"
"907","no",213,13.5,0,3,"no"
"908","no",118.1,16.9,1,2,"no"
"909","no",190.2,15,6,4,"no"
"910","no",82.2,5.1,0,6,"no"
"911","no",163.8,8.1,0,5,"no"
"912","no",267.8,14.4,5,11,"yes"
"913","no",159.8,10.6,2,3,"no"
"914","no",214.3,10.6,1,4,"no"
"915","no",287.3,10.5,0,4,"yes"
"916","no",101.2,7.5,2,3,"no"
"917","no",102.8,13.2,2,5,"no"
"918","no",109.1,8.3,0,6,"no"
"919","no",215.9,5.2,1,2,"no"
"920","no",203.4,11,1,4,"no"
"921","no",110.1,9.2,1,2,"no"
"922","no",111,4.4,1,14,"no"
"923","no",239.9,9.3,1,5,"no"
"924","no",144.8,13.8,1,3,"no"
"925","no",135.4,7.9,1,4,"no"
"926","no",84.2,10.8,1,2,"no"
"927","no",209.1,14,0,6,"no"
"928","no",130.1,11.4,0,5,"no"
"929","no",175.8,7.8,2,5,"no"
"930","no",241.9,6.6,1,5,"no"
"931","no",136.7,9.8,0,4,"no"
"932","no",67.7,12,1,2,"no"
"933","no",200.4,10,1,2,"no"
"934","yes",125.8,14.1,1,4,"yes"
"935","no",128.2,11.2,1,2,"no"
"936","no",226.3,13,4,3,"no"
"937","no",162.3,9.2,0,4,"no"
"938","no",224.4,6.7,2,2,"no"
"939","no",120.5,14.3,1,2,"no"
"940","no",91.1,11.9,2,8,"no"
"941","no",168.8,15.5,0,4,"no"
"942","no",153.5,6.5,2,5,"no"
"943","no",226.2,6.4,0,2,"no"
"944","no",191.9,12.6,1,2,"no"
"945","no",167.9,9.2,4,6,"yes"
"946","no",180,11.5,2,6,"no"
"947","no",257.4,13.4,2,5,"yes"
"948","no",174.4,11,1,4,"no"
"949","no",159.7,8.4,1,3,"no"
"950","no",237.2,11,1,3,"no"
"951","no",103,7.9,1,3,"no"
"952","no",153.8,11.6,4,2,"no"
"953","no",205.1,10.7,3,2,"no"
"954","no",175.7,8.6,2,3,"no"
"955","no",155.9,8.6,2,8,"no"
"956","no",154.4,10.3,0,5,"no"
"957","no",209.7,7.1,2,3,"no"
"958","yes",150,9.4,0,15,"no"
"959","no",232.4,12.3,3,3,"no"
"960","no",165.4,12.8,2,5,"no"
"961","no",199.2,13.3,3,3,"no"
"962","no",217.6,4.2,0,3,"no"
"963","no",212.1,7.7,3,2,"no"
"964","no",154,10.8,1,5,"no"
"965","no",193.8,13.3,1,2,"no"
"966","no",175.4,12.2,0,4,"no"
"967","no",152,15.7,2,5,"yes"
"968","no",230.2,9.2,0,3,"no"
"969","no",174.9,13.5,1,3,"yes"
"970","no",190.2,8.8,0,4,"no"
"971","no",176.4,11.5,1,1,"no"
"972","no",160.9,5,3,5,"no"
"973","no",228.7,11.8,1,3,"no"
"974","no",144,12.3,0,2,"no"
"975","no",135.9,9.5,6,7,"no"
"976","no",334.3,10.4,0,6,"yes"
"977","no",130.5,13,0,6,"no"
"978","no",134.2,11.8,4,2,"yes"
"979","no",278,13.1,4,4,"yes"
"980","no",105.4,7.8,0,5,"no"
"981","no",188.9,11.6,3,8,"no"
"982","no",111.8,6.9,1,4,"no"
"983","no",159.1,13,1,18,"no"
"984","no",212.4,9,1,4,"no"
"985","no",142.3,9.9,1,1,"no"
"986","yes",346.8,13.3,1,9,"yes"
"987","no",113.9,11.8,1,9,"no"
"988","yes",267.9,8.3,1,2,"yes"
"989","no",171.4,17,3,4,"no"
"990","no",275.4,13.6,1,3,"no"
"991","no",197.2,3.9,0,2,"no"
"992","no",192.6,7.9,2,2,"no"
"993","no",91.7,7.7,1,5,"no"
"994","no",126.3,9.6,0,2,"no"
"995","no",251.5,10.4,3,6,"no"
"996","no",190.6,7.5,1,5,"no"
"997","no",116.1,11.6,0,5,"no"
"998","no",217.3,11.3,2,3,"no"
"999","no",179.4,14.7,0,3,"no"
"1000","no",207.7,7.9,0,3,"no"
"1001","no",277.3,12.8,2,4,"yes"
"1002","no",125.3,8.4,1,4,"no"
"1003","no",138.1,6.8,2,3,"no"
"1004","no",169.3,8.2,0,3,"no"
"1005","no",201.3,12.3,1,3,"no"
"1006","yes",216.7,9.8,2,4,"no"
"1007","no",190.4,8.3,2,4,"no"
"1008","no",143.3,6,1,7,"no"
"1009","no",97.4,11.4,2,2,"no"
"1010","no",181.4,11.3,3,3,"no"
"1011","no",246.4,3.8,0,4,"no"
"1012","no",143.4,9.7,2,6,"no"
"1013","no",104.9,8,2,5,"no"
"1014","no",156.2,13.1,1,5,"no"
"1015","no",114.8,12,0,4,"no"
"1016","no",232.5,11.9,0,2,"no"
"1017","no",143.6,8.6,1,3,"no"
"1018","no",176.7,9.1,2,4,"no"
"1019","no",263.4,11.4,1,5,"yes"
"1020","no",146.4,11.3,1,3,"no"
"1021","no",145,14.2,2,3,"no"
"1022","no",167.8,8.4,1,12,"no"
"1023","no",166.9,7.2,0,5,"no"
"1024","no",142.5,7.8,2,8,"no"
"1025","yes",133,11.2,1,3,"no"
"1026","no",252.9,12.3,1,1,"no"
"1027","no",95,10,2,2,"no"
"1028","yes",194.2,12.9,1,1,"yes"
"1029","no",222.8,0,1,0,"no"
"1030","no",201.8,16.5,0,5,"no"
"1031","no",216,9.3,2,4,"yes"
"1032","no",146.3,5.3,1,9,"no"
"1033","no",234.8,9.5,1,5,"no"
"1034","no",198.6,10.6,2,6,"no"
"1035","no",94.4,13.1,2,9,"no"
"1036","no",190.4,10,2,1,"no"
"1037","no",142.6,12,3,2,"no"
"1038","yes",134.2,10.7,0,5,"no"
"1039","no",111.9,14.1,5,3,"yes"
"1040","no",122.8,10.7,2,2,"no"
"1041","no",189.3,9.2,4,5,"no"
"1042","no",240.4,16.1,0,6,"no"
"1043","yes",93.5,9.9,0,3,"no"
"1044","no",158.6,10.2,3,8,"no"
"1045","yes",243.2,7.2,4,4,"no"
"1046","no",176.4,9.3,4,3,"no"
"1047","no",220.9,6.4,0,5,"no"
"1048","no",144.4,7.1,0,7,"no"
"1049","no",212.3,7.7,0,3,"no"
"1050","no",147,8.4,1,9,"no"
"1051","no",96.2,12.9,2,10,"no"
"1052","no",263.4,10.3,0,2,"no"
"1053","yes",12.5,7.7,1,9,"no"
"1054","no",162.3,10.1,2,3,"no"
"1055","no",183.6,8.7,1,3,"no"
"1056","no",178.1,8.5,1,2,"no"
"1057","no",201.4,7,0,3,"no"
"1058","no",123,13.3,1,4,"no"
"1059","no",208,8.6,0,6,"no"
"1060","no",239.2,8.8,1,3,"no"
"1061","no",193,15.3,1,3,"no"
"1062","no",174.5,10.3,1,9,"no"
"1063","no",116.7,9.9,1,3,"no"
"1064","no",93.8,10.7,1,2,"no"
"1065","yes",154.1,12.9,2,3,"no"
"1066","no",239.5,9.9,0,6,"no"
"1067","no",216,11.8,0,4,"no"
"1068","no",187.4,12.2,1,6,"no"
"1069","no",167.4,10.3,0,5,"no"
"1070","no",160.4,12.5,1,4,"no"
"1071","no",143.2,11.9,1,9,"no"
"1072","no",205.3,5,1,9,"no"
"1073","no",219.1,14.3,1,6,"no"
"1074","no",143.2,7.6,1,4,"no"
"1075","no",232.8,12.5,2,7,"no"
"1076","no",162,8.9,0,8,"no"
"1077","no",25.9,6.5,1,7,"no"
"1078","no",154.2,15.4,4,4,"yes"
"1079","no",322.3,6.7,0,8,"yes"
"1080","no",209.9,8.2,1,3,"no"
"1081","no",191.5,0,0,0,"no"
"1082","no",291.1,7.5,1,2,"no"
"1083","no",215.6,11.8,3,1,"no"
"1084","yes",208.8,12.4,3,6,"no"
"1085","no",255.9,12.3,3,5,"no"
"1086","no",252.7,12.4,2,4,"no"
"1087","no",132.1,6.9,3,6,"no"
"1088","no",217,8.2,1,4,"no"
"1089","no",101.9,12.9,0,2,"no"
"1090","no",211.5,13.3,2,4,"no"
"1091","no",153.4,10.4,0,3,"no"
"1092","no",166.3,10,2,3,"no"
"1093","no",185.2,9.5,1,13,"no"
"1094","no",104.6,6.5,2,8,"no"
"1095","no",245.2,7.2,0,8,"no"
"1096","no",274.4,6,1,3,"no"
"1097","no",98.4,14.2,1,4,"no"
"1098","no",279.9,13,1,2,"no"
"1099","no",187.2,5.1,1,4,"no"
"1100","no",276.2,2.2,3,4,"no"
"1101","no",200.4,8.3,1,4,"no"
"1102","no",162.3,9.1,2,4,"no"
"1103","no",176.9,10.5,4,2,"yes"
"1104","no",165.5,12.2,0,6,"no"
"1105","no",217.8,10.4,4,5,"no"
"1106","no",201.4,12.9,2,4,"yes"
"1107","no",190.5,10.1,3,5,"no"
"1108","no",179.9,12.8,3,7,"no"
"1109","no",235.9,5.8,3,2,"no"
"1110","no",140.4,7.9,0,1,"no"
"1111","no",144.6,7.4,2,9,"no"
"1112","no",189,17.1,0,6,"no"
"1113","no",101,13.3,0,2,"no"
"1114","no",206.3,10.6,1,4,"no"
"1115","no",165.1,10.9,1,4,"no"
"1116","no",165,12.5,1,7,"yes"
"1117","no",155.9,11.7,3,3,"no"
"1118","yes",199.2,11.8,1,7,"no"
"1119","no",155.3,12.3,3,4,"no"
"1120","no",208.3,11.3,3,5,"no"
"1121","no",157.1,12.1,1,6,"no"
"1122","no",154.4,11.7,5,4,"yes"
"1123","no",189.1,10.4,1,5,"yes"
"1124","no",131.5,10,2,3,"no"
"1125","no",166.4,9.9,1,5,"no"
"1126","no",142.3,12.8,2,9,"no"
"1127","no",87.7,7.3,2,4,"no"
"1128","no",184.1,16.9,0,3,"no"
"1129","yes",174.5,12.3,2,10,"no"
"1130","no",103.3,9,2,2,"no"
"1131","no",35.1,12.7,1,2,"no"
"1132","no",246.6,13,1,5,"no"
"1133","no",78.5,11.8,1,4,"no"
"1134","no",148.1,12.3,5,2,"yes"
"1135","no",206.2,9,1,3,"no"
"1136","no",251.6,12.2,2,3,"no"
"1137","yes",270.3,14.4,1,7,"yes"
"1138","no",156.6,11.3,1,1,"no"
"1139","no",139.4,13.6,1,6,"no"
"1140","no",220.2,11.7,2,3,"no"
"1141","no",214.1,10.1,1,3,"no"
"1142","no",196,7.9,1,6,"no"
"1143","no",106.4,5.3,6,4,"yes"
"1144","no",179.4,10,0,5,"no"
"1145","no",216.7,10.8,2,1,"no"
"1146","no",177.3,5.1,0,2,"no"
"1147","no",151.6,4,1,5,"no"
"1148","no",262.2,10.6,0,5,"no"
"1149","no",173.6,9.7,3,7,"no"
"1150","yes",106.6,9.6,2,8,"no"
"1151","no",193.3,11.6,5,4,"yes"
"1152","no",217.2,11.3,0,4,"no"
"1153","no",209.5,8.8,1,4,"no"
"1154","no",95.4,5.6,1,5,"no"
"1155","no",214.6,8.1,1,2,"no"
"1156","no",131.6,11.1,4,4,"yes"
"1157","no",168.4,11.8,1,7,"no"
"1158","no",146.4,7.8,1,5,"no"
"1159","yes",183,11.1,1,6,"no"
"1160","no",103.3,6.4,0,7,"no"
"1161","no",112.2,10.6,0,2,"no"
"1162","yes",170.7,8.2,3,9,"no"
"1163","no",172.5,10.9,0,2,"no"
"1164","no",194.3,7.1,1,5,"no"
"1165","no",187.8,12,2,3,"no"
"1166","yes",307.1,8,0,3,"no"
"1167","no",118.2,12.2,3,3,"no"
"1168","no",154,12.9,1,1,"no"
"1169","no",155.5,7.6,1,11,"no"
"1170","yes",125.6,5.4,1,5,"no"
"1171","no",199.3,15.2,0,2,"no"
"1172","no",157.9,12.8,1,3,"no"
"1173","no",203.4,9.2,2,5,"no"
"1174","no",222.2,10.9,1,5,"no"
"1175","no",92.8,5.8,1,7,"no"
"1176","no",216.8,8.6,0,2,"no"
"1177","no",193.2,9.7,4,2,"no"
"1178","no",113.2,14.1,3,4,"no"
"1179","no",166.2,11.2,3,2,"no"
"1180","no",262.2,7.3,1,14,"no"
"1181","no",207.8,13.1,0,4,"no"
"1182","no",245.4,7.5,1,6,"no"
"1183","no",287.1,14.4,3,2,"yes"
"1184","no",192.3,9,2,1,"no"
"1185","no",194.2,9.7,2,3,"no"
"1186","no",211,9.8,3,7,"no"
"1187","no",141.9,8.7,0,5,"no"
"1188","no",220.5,5.9,2,9,"no"
"1189","no",157.4,9.3,1,2,"no"
"1190","no",143.5,11.2,0,5,"no"
"1191","no",156,8.9,0,8,"no"
"1192","yes",160.1,9.2,2,3,"no"
"1193","yes",235.1,7.2,4,2,"yes"
"1194","yes",160,8.7,5,5,"yes"
"1195","no",188.4,13.2,1,2,"no"
"1196","no",194.8,11,1,3,"no"
"1197","no",247.8,6.9,1,2,"no"
"1198","no",221.2,11.9,4,3,"no"
"1199","no",118.5,13.4,2,3,"no"
"1200","no",231.8,7.6,1,4,"no"
"1201","no",215.9,11.6,1,4,"no"
"1202","no",217.1,8,2,5,"no"
"1203","no",83.5,12.6,0,3,"no"
"1204","no",183.3,5.1,1,7,"no"
"1205","yes",236.8,9.5,1,2,"yes"
"1206","no",193.8,8.5,1,3,"no"
"1207","no",134,9.7,0,4,"no"
"1208","no",176.6,11.3,2,5,"no"
"1209","no",191.4,10.2,3,3,"no"
"1210","yes",174.8,12.8,0,3,"no"
"1211","no",275.2,7.9,1,2,"no"
"1212","no",174,7.9,1,1,"no"
"1213","no",165,12.6,1,8,"no"
"1214","no",228.7,11.8,1,4,"no"
"1215","no",107.9,9.5,2,3,"no"
"1216","no",221.3,11.3,1,6,"no"
"1217","no",141.1,5.9,3,6,"no"
"1218","no",166.4,10.7,4,4,"no"
"1219","no",249.6,7.6,3,3,"no"
"1220","no",178.6,10.9,1,5,"no"
"1221","no",139,15.7,2,5,"no"
"1222","no",134.3,12.6,2,5,"no"
"1223","no",215.9,4.9,3,5,"no"
"1224","no",181.6,11.4,1,4,"no"
"1225","no",178.4,9.3,1,9,"no"
"1226","no",106.4,11.4,1,3,"no"
"1227","no",170.7,11.4,2,4,"no"
"1228","no",184.5,12.3,0,6,"no"
"1229","no",161.2,8.9,1,4,"no"
"1230","no",84.9,7.5,2,5,"no"
"1231","no",217.9,10.6,1,2,"no"
"1232","no",270.9,8.8,0,5,"yes"
"1233","no",243,15.3,0,6,"yes"
"1234","no",128.2,8.9,0,3,"no"
"1235","no",126.3,9.8,2,7,"no"
"1236","no",178.7,10.6,4,2,"no"
"1237","no",159,10.1,0,4,"no"
"1238","no",150.9,11.7,3,5,"no"
"1239","yes",219.9,8.1,3,4,"no"
"1240","no",168,10.1,2,3,"no"
"1241","no",162.1,9.6,4,3,"yes"
"1242","no",198.8,16.5,5,7,"no"
"1243","yes",256.8,9.1,3,10,"no"
"1244","no",182.8,11,1,2,"no"
"1245","no",196.8,7.7,1,2,"no"
"1246","no",140.1,11.2,2,5,"no"
"1247","no",194.3,9,5,3,"no"
"1248","no",117.6,8.8,1,5,"no"
"1249","yes",193.7,11.6,0,8,"no"
"1250","no",243.1,7.8,2,4,"no"
"1251","no",145.4,5.2,1,4,"no"
"1252","no",169.1,9.9,3,10,"no"
"1253","no",229.3,8.8,2,3,"no"
"1254","yes",197.2,8.3,4,4,"no"
"1255","no",186.4,11.1,2,3,"yes"
"1256","no",76.1,10.8,0,3,"no"
"1257","no",162.8,6,2,3,"no"
"1258","no",182.3,18,1,5,"no"
"1259","yes",194.4,11.2,2,7,"no"
"1260","no",189.3,12.5,2,4,"no"
"1261","no",160.1,9.5,3,4,"no"
"1262","no",145,7.1,3,4,"no"
"1263","no",220.7,11.5,4,7,"no"
"1264","no",224.7,7.5,1,5,"yes"
"1265","no",147,10.5,1,4,"no"
"1266","no",260.8,10.1,1,5,"no"
"1267","no",155.4,9,0,3,"no"
"1268","no",166.2,5.4,1,7,"no"
"1269","no",211.8,10.8,0,7,"no"
"1270","no",130.5,11,4,5,"yes"
"1271","no",162.7,8.7,0,6,"no"
"1272","yes",237.1,7.9,1,3,"no"
"1273","no",166.2,13.2,4,2,"no"
"1274","no",121.7,8.3,6,2,"yes"
"1275","no",176.4,11.2,0,2,"no"
"1276","no",67.4,11.4,2,2,"no"
"1277","no",229.7,9.6,1,1,"yes"
"1278","no",176,14.7,1,7,"no"
"1279","no",247.7,9.6,0,7,"yes"
"1280","no",115.4,13.1,2,5,"no"
"1281","no",112.2,13.9,0,1,"yes"
"1282","no",162.6,11.5,0,4,"no"
"1283","no",229.4,10.4,4,6,"no"
"1284","no",139.6,15,2,4,"no"
"1285","no",263.8,8.4,5,2,"yes"
"1286","no",217.5,9,4,3,"no"
"1287","no",114.3,7.5,1,8,"no"
"1288","no",196.3,7.7,2,3,"no"
"1289","no",253.2,4.4,1,4,"no"
"1290","no",98,10.5,0,4,"no"
"1291","no",249.4,9.1,0,3,"no"
"1292","no",129.6,14.5,1,5,"no"
"1293","no",221.3,9.3,0,7,"no"
"1294","no",220.7,12.4,1,9,"no"
"1295","no",87.6,9.2,1,5,"no"
"1296","no",203.6,8.4,0,3,"no"
"1297","no",213.6,8.8,2,3,"no"
"1298","no",181.6,12.9,2,4,"no"
"1299","no",215.4,7.8,1,6,"no"
"1300","no",266.3,14,2,2,"yes"
"1301","no",199.2,10.2,3,2,"no"
"1302","no",115,7.3,3,4,"no"
"1303","no",270.5,9.6,1,5,"yes"
"1304","no",222.2,12.9,1,4,"no"
"1305","no",61.9,8.8,3,2,"no"
"1306","no",141.1,10.8,2,2,"no"
"1307","no",189.2,10.6,3,5,"yes"
"1308","no",196,9.8,3,1,"no"
"1309","no",171.6,13.8,0,4,"no"
"1310","yes",174,11.4,2,3,"no"
"1311","no",78.6,7.4,1,5,"yes"
"1312","no",200.9,8.9,1,7,"no"
"1313","no",141.3,6.4,1,2,"no"
"1314","no",235.8,7.3,2,1,"no"
"1315","no",185.1,6.3,3,4,"no"
"1316","no",254.3,11.8,2,2,"no"
"1317","no",183,8.7,2,6,"no"
"1318","no",163.5,7.5,2,5,"no"
"1319","no",207.9,7.7,2,2,"no"
"1320","no",248.6,6.1,3,3,"no"
"1321","no",185.4,14.5,2,4,"no"
"1322","no",197.8,8.9,1,5,"no"
